DATAFLOW,MEASURE: Measure,INDUSTRY: Industry,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-06,1376.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-07,1448,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-08,1453,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-09,1423.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-10,1505.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-11,1566.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-12,1879.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-01,1497.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-02,1312.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-03,1453.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-04,1426.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-05,1463.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-06,1408.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-07,1489.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-08,1472.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-09,1482.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-10,1589.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-11,1622.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2014-12,1968.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-01,1546.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-02,1383.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-03,1562.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-04,1491.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-05,1535.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-06,1508.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-07,1558.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-08,1525.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-09,1550.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-10,1640.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-11,1661.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2015-12,2050.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-01,1601.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-02,1472.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-03,1617.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-04,1569.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-05,1582.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-06,1568.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-07,1621.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-08,1609.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-09,1622.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-10,1678.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-11,1729.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2016-12,2139.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-01,1662.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-02,1485.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-03,1668.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-04,1625.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-05,1668.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-06,1648.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-07,1648.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-08,1639.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-09,1656.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-10,1758,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-11,1833.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2017-12,2216.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-01,1705.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-02,1540.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-03,1762.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-04,1624.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-05,1722.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-06,1687.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-07,1696.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-08,1719,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-09,1703,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-10,1802.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-11,1861.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2018-12,2211.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-01,1746.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-02,1570.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-03,1759.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-04,1713.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-05,1778.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-06,1708.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-07,1725.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-08,1754.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-09,1724.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-10,1831.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-11,1912.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2019-12,2239.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-01,1765.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-02,1643.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-03,1922.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-04,1605.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-05,1912.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-06,1885.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-07,1983.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-08,1931.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-09,1890.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-10,2019.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-11,2034.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2020-12,2469.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-01,1925.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-02,1728.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-03,1940.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-04,1848.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-05,1906.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-06,1885.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-07,1862.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-08,1952.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-09,1975.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-10,2062.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-11,2169.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2021-12,2512.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-01,2000.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-02,1860.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-03,2063.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-04,2045.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-05,2109.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-06,2071.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-07,2137.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-08,2148.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-09,2169.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-10,2247.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-11,2377.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2022-12,2799.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-01,2194.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-02,1994,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-03,2238,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-04,2177.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-05,2249.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-06,2202.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2023-07,2206.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-07,366.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-08,311.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-09,320.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-10,343.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-11,397,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2010-12,661.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-01,327,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-02,266.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-03,317.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-04,353.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-05,334.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-06,342.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-07,357.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-08,298.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-09,307.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-10,332.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-11,382.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2011-12,648.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2012-01,317.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2012-02,265.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2012-03,323.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2012-04,330.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,44: Department stores,10: Original,2: Victoria,M: Monthly,2012-05,340.5,AUD: Australian Dollars,6: Millions,,
